Per_Capita_Exp_ALL_ESRD_BY1,Per_Capita_Exp_ALL_DIS_BY1,Per_Capita_Exp_ALL_AGDU_BY1,Per_Capita_Exp_ALL_AGND_BY1,Per_Capita_Exp_ALL_ESRD_BY2,Per_Capita_Exp_ALL_DIS_BY2,Per_Capita_Exp_ALL_AGDU_BY2,Per_Capita_Exp_ALL_AGND_BY2,Per_Capita_Exp_ALL_ESRD_BY3,Per_Capita_Exp_ALL_DIS_BY3,Per_Capita_Exp_ALL_AGDU_BY3,Per_Capita_Exp_ALL_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY,N_AB,N_Ben_Age_0_64,N_Ben_Age_65_74,N_Ben_Age_75_84,N_Ben_Age_85plus,N_Ben_Female,N_Ben_Male,N_Ben_Race_White,N_Ben_Race_Black,N_Ben_Race_Asian,ADM,P_SNF_ADM,P_EDV_Vis,P_EM_Total,P_EM_PCP_Vis,P_CT_VIS,P_MRI_VIS,N_PCP,N_Spec,N_Hosp,GenSaveLoss,EarnSaveLoss,Performance_Year,Per_Capita_Exp_TOTAL_PY,ACO_ID,ACO_Name
83980.0,11731.0,17307.0,11370.0,81423.0,11713.0,16704.0,11600.0,86154.0,12158.0,16628.0,11718.0,1.01,1.052,1.078,1.147,80864.0,4986.0,34477.0,28630.0,12771.0,46817.0,34047.0,71224.0,3447.0,484.0,237,35,452.0,15065.0,6291.0,676.0,338,466.0,691.0,0,72427998.0,54320998.0,2020,11182.0,A1001,Palm Beach Accountable Care Organization
92527.0,12686.0,15676.0,11075.0,91754.0,12889.0,17254.0,11559.0,102859.0,12368.0,18318.0,11520.0,1.027,1.022,1.021,0.995,33798.0,2937.0,14846.0,10600.0,5415.0,20130.0,13668.0,27545.0,2151.0,1162.0,248,66,454.0,11500.0,4011.0,641.0,250,464.0,680.0,1,0.0,0.0,2020,11784.0,A1006,Hackensack Alliance ACO
72508.0,9399.0,7241.0,8224.0,66210.0,10009.0,8301.0,8524.0,72636.0,8954.0,7858.0,8594.0,0.962,0.96,0.761,0.937,10146.0,821.0,5173.0,3174.0,978.0,5945.0,4201.0,8827.0,208.0,95.0,230,31,493.0,8887.0,2003.0,598.0,227,245.0,86.0,0,0.0,0.0,2020,9106.0,A1023,"Arizona Connected Care, LLC"
100449.0,9883.0,17087.0,10273.0,105035.0,10904.0,16661.0,10632.0,104686.0,11234.0,18133.0,11029.0,1.013,0.979,1.019,1.021,37348.0,2803.0,16243.0,12257.0,6045.0,21431.0,15917.0,32322.0,2003.0,751.0,249,62,440.0,10727.0,3774.0,577.0,203,499.0,526.0,5,9463053.0,4598452.0,2020,10610.0,A1026,Atlantic ACO
98954.0,13031.0,19388.0,11394.0,97393.0,12224.0,18668.0,11269.0,91157.0,13096.0,17816.0,11529.0,1.071,1.136,1.055,1.092,6730.0,682.0,2949.0,2146.0,953.0,3797.0,2933.0,4616.0,636.0,492.0,288,65,486.0,10810.0,4154.0,456.0,214,123.0,186.0,0,6728881.0,2607236.0,2020,13747.0,A1032,"Premier ACO Physicians Network, LLC"
89520.0,10093.0,18378.0,9822.0,89064.0,10385.0,17125.0,10137.0,93808.0,10916.0,17658.0,10451.0,1.017,0.993,1.041,1.034,113033.0,9496.0,52404.0,35767.0,15366.0,65134.0,47899.0,91018.0,12310.0,2578.0,282,59,518.0,9553.0,3977.0,613.0,203,1726.0,3107.0,8,77622055.0,37595221.0,2020,10307.0,A1033,"Advocate Physician Partners Accountable Care, Inc."
88108.0,10955.0,20602.0,10316.0,75479.0,11376.0,18595.0,10403.0,86263.0,11391.0,18804.0,10764.0,1.09,1.099,1.157,1.243,17553.0,1783.0,7600.0,5750.0,2420.0,9918.0,7635.0,15753.0,740.0,266.0,304,50,525.0,12300.0,5576.0,697.0,254,149.0,5.0,0,20288220.0,14740660.0,2020,10949.0,A1041,"West Florida ACO, LLC"
69499.0,10238.0,12828.0,8988.0,71912.0,9134.0,12868.0,8903.0,72079.0,10279.0,14924.0,9416.0,1.046,1.181,1.23,1.208,11427.0,732.0,5503.0,3803.0,1389.0,6427.0,5000.0,9817.0,1321.0,38.0,225,31,427.0,11799.0,5287.0,723.0,221,34.0,59.0,0,10701474.0,7975943.0,2020,9352.0,A1051,"Coastal Carolina Quality Care, Inc."
78883.0,7736.0,13343.0,8961.0,81242.0,7545.0,13782.0,9285.0,81614.0,8059.0,13988.0,9203.0,0.983,0.842,0.917,1.048,6885.0,988.0,3010.0,2021.0,866.0,3644.0,3241.0,6150.0,519.0,18.0,251,64,589.0,10578.0,4428.0,696.0,202,35.0,1.0,0,2409334.0,1189609.0,2020,9379.0,A1052,"Quality Independent Physicians, LLC"
71820.0,8408.0,14957.0,8068.0,70697.0,9254.0,14353.0,8207.0,74352.0,10045.0,13595.0,8245.0,0.972,0.999,1.028,0.946,12305.0,1196.0,6818.0,3419.0,872.0,6701.0,5604.0,10659.0,1228.0,42.0,175,27,378.0,9676.0,3125.0,632.0,229,56.0,99.0,1,8665726.0,3401297.0,2020,8397.0,A1058,"Physicians Healthcare Collaborative, LLC"
